,business_id,name,address,postal_code,city,stars_y,review_count,ice cream/ serve,waiting/ staff,deep fried/fish chips/ spirng rolls,butter chicken/ palak paneer,fried chicken/ smoked meat
0,-av1lZI1JDY_RZN2eTMnWg,Salad King Restaurant,340 Yonge Street,M5B 1R8,Toronto,3.5,876,0.01576049143188077,0.7533306881249399,0.07538745679455382,0.0538669985481934,0.04902278615306406
1,0J_NiF5Lb0bFM5v6ZY-uGw,Zet's Restaurant,6445 Airport Road,L4V 1Y4,Mississauga,4.0,333,0.029033787420522743,0.5880283282776058,0.08715258692443774,0.08722485529376318,0.08356044208367067
2,0a2O150ytxrDjDzXNfRWkA,Miku,105-10 Bay Street,M5J 2R8,Toronto,4.0,604,0.08083627383760889,0.6925215329583331,0.047592522149202905,0.027125984906250507,0.03564461638116282
3,0v8icS8wOOgEDiHDCOQkZQ,Chilli Chicken House,"4040 Creditview Road, Unit 25",L5C,Mississauga,4.0,320,0.023232096721215064,0.5336971947342335,0.1070275456086706,0.10394424314740039,0.08504009625906865
4,2Q89PhkcyT9uZnQORmqMKg,House of Gourmet,484 Dundas St W,M5T 1G9,Toronto,3.5,345,0.01729518971105959,0.7148219982864977,0.07411411428859456,0.037571210361415266,0.06095939211433771
5,3uIXuw878fNjxZ2Li1diFg,The Hogtown Vegan,1056 Bloor St. W,M6H 1M3,Toronto,4.0,384,0.05089094187157462,0.5962501227721334,0.1470212344211626,0.02926826032489007,0.16094444061023916
6,4DLsC4BTUoEqFGusetQVlQ,La Carnita,106 John Street,M5H 1X9,Toronto,3.5,317,0.018868627268663465,0.8166841617537127,0.029314852977636915,0.027757990104890946,0.031425000806488405
7,4MQaqhBUJCpghGukSWNq7w,The Loose Moose,146 Front Street West,M5J 1G2,Toronto,3.5,334,0.021648606193052176,0.7595403317674769,0.04829495946638264,0.05459146971530503,0.04016705710020753
8,4m_hApwQ054v3ue_OxFmGw,Patria,480 King Street W,M5V 1L7,Toronto,4.0,416,0.05218391613208369,0.7436342950758611,0.05499539567309902,0.024624805504119652,0.04456158761483693
9,5XVabANkehj7oH-Z7YZkwg,Alchemy Coffee,"4361 Highway 7 E, Unit 1",L3R 1M1,Markham,4.0,390,0.05287121394311077,0.6441948180282259,0.05946725766884299,0.050198368523965045,0.10631182009672493
10,5aeOewSy4RiI8sLLWpeNGA,Pablo Cheesetart Canada,114 Dundas St W,M5G 1C3,Toronto,3.0,308,0.17017033557076772,0.6745831772346549,0.016613372988209325,0.015942617620309164,0.006901022901848147
11,6EVBc9kdc3Hd8KZkLVPnGA,Kaiju,"384 Yonge Street, Unit 51",M5B,Toronto,4.5,366,0.023388171481085636,0.5209373008106958,0.21556497804405933,0.0846960175706839,0.15541353209347522
12,6ZsiLiSWGK2pgw6t3LfzNQ,Donburi,"505 Highway 7 E, Unit 93-95",L3T 7T1,Markham,3.5,342,0.09777670727591752,0.6047690268834602,0.078542783143101,0.05259342501886516,0.07771046274194715
13,73_UT7fZ7mzXcguX8-oSuQ,Amsterdam BrewHouse,245 Queens Quay W,M5J 2K9,Toronto,3.5,584,0.010859318936115471,0.8216946316847811,0.04629875991193007,0.03162846413693366,0.027449859812998266
14,7oEKIG7d1ttPRejppZ3WIA,Lady Marmalade,898 Queen Street E,M4M 1J3,Toronto,4.0,456,0.03132739342496653,0.8497467179118386,0.03534977381771513,0.025258402613939752,0.05831771223153986
15,8I5U8OQ06nSxX2y4PPOWzQ,Japango,122 Elizabeth Street,M5G 1P5,Toronto,3.5,643,0.06466226045772654,0.7651195885775971,0.027890424846844317,0.036918975425841376,0.031879338927284576
16,8MWiywu09bhLWIpzVaD4gw,Aunties & Uncles,74 Lippincott Street,M5S 2P1,Toronto,3.5,333,0.012385374991160021,0.8541514877865184,0.049256836227469666,0.013408551747573645,0.026680102188454905
17,8YG7PRoZuHeKii0rtNvJFQ,Dragon Boat Fusion Cuisine,"160 E Beaver Creek Road, Suite 4-6",L4B 4A7,Richmond Hill,3.5,457,0.029758495455449386,0.7517437482544805,0.07904922091434921,0.015491020377367925,0.04287643391727177
18,9Eghhu_LzEJgDKNgisf3rg,SCADDABUSH Italian Kitchen & Bar,"382 Yonge Street, Unit #7",M5B 1S8,Toronto,3.5,408,0.03460241940903235,0.8079395130618289,0.03095152274909277,0.03457429395955655,0.025265584153823316
19,9ot8oInkYZTt6wkkGe__vQ,Auberge du Pommier,4150 Yonge Street,M2P 2C6,Toronto,4.0,319,0.11794146251494009,0.7486602267850296,0.024140099210282092,0.033153027737336985,0.044855183752411064
20,9tfw-OEfpF0qC2hSzRks6g,Hair of the Dog,425 Church Street,M4Y 2C3,Toronto,4.0,301,0.006970731614650306,0.5679711379525203,0.06615547302057968,0.15065094678359142,0.09197264086121641
21,A7waf6G3cvnLfAqKeLL8DA,Buca,604 King Street W,M5V 1M6,Toronto,4.0,392,0.04686090607339361,0.7197354117077884,0.059663146980004494,0.039945161065496726,0.049288331919795585
22,ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,309 Spadina Avenue,M5T 2E6,Toronto,4.0,312,0.02245434055254864,0.544772377367134,0.13626287630345163,0.046023216968507245,0.11535205367322318
23,B70iTJjcPkuYn8ouUewWgw,Gusto 101,101 Portland Street,M5V 2N3,Toronto,4.0,836,0.014660940617739792,0.7966359765327307,0.054812370226123085,0.029351914421016978,0.04043623409982519
24,BUcTdN-rNE8urCCQuxSOQA,Mother's Dumplings,421 Spadina Avenue,M5T 2A8,Toronto,3.0,478,0.016154541387814865,0.7276606670934752,0.09680513439658543,0.024388393393561855,0.0334287637285626
25,BYDs_o6U4CLxJec8k1Q90Q,Poke Guys,"112 Elizabeth Street, Unit 1",M5G 1P5,Toronto,4.0,319,0.03710904407471569,0.7156301697090922,0.035580626247721486,0.04975143448905274,0.04764301119370345
26,Bf2fuqWbHd3L-X69FSMvmg,El Trompo Taco Bar,277 Augusta Ave,M5T 2M1,Toronto,4.0,310,0.022308642085922935,0.7121818522866975,0.08245144450928968,0.05263297241294113,0.07914303742309728
27,BxCzy1WOVxOrr_G7V4BIvg,Lola's Kitchen,634 Church Street,M4Y 2G3,Toronto,4.0,386,0.018174250369145294,0.7819186188662939,0.05367841184538489,0.05061584144387728,0.04106742292984428
28,C8_zdU7zGLUK3uC4e5AepQ,MeNami,5469 Yonge Street,M2N 5S1,Toronto,3.5,371,0.056539266354245346,0.7090797342694172,0.09990967283931353,0.012457511290787485,0.07756937080179215
29,CN5nuUQod0f8g3oh99qq0w,KINKA IZAKAYA BLOOR,559 Bloor St W,M5S 1Y6,Toronto,4.0,419,0.042637856420948146,0.5480638094521696,0.1293555775781683,0.02564244502142746,0.14001459724157236
30,CfxVkwEJk1NAqgqMSesLzA,KINKA IZAKAYA NORTH  YORK,"4775 Yonge Street, Unit 114",M2N 5M5,Toronto,3.5,311,0.0344482381653009,0.6814525750703259,0.11615391072109402,0.021714836708730992,0.016600809704918847
31,Cp3YRVZojrCGeQS41Hf1pw,Pho Hung,350 Spadina Avenue,M5T 2G4,Toronto,3.0,419,0.02670842983587938,0.6696299644877025,0.1084586458403573,0.022297866953827114,0.05815099452157787
32,Cr5CLpmVrmzFyz_RfQ6rmA,Scaddabush,155A York Boulevard,L4B 3B4,Richmond Hill,3.5,319,0.05071154125337796,0.828511631865753,0.024903006552263286,0.04079242372131165,0.041382766470307634
33,D-8yidw7FLKKQpciKJSd2g,The Burgernator,269 Augusta Avenue,M5T 1M5,Toronto,4.0,310,0.049564019844343804,0.5606057702443533,0.13593149622490347,0.034367179249473495,0.07667439157978308
34,DE89UdHFMCN6DtYWZuer5A,Hokkaido Ramen Santouka,91 Dundas Street E,M5B 2C8,Toronto,4.0,750,0.033889309976248165,0.6895509041759267,0.02202193539854561,0.02580386315103811,0.1627999213641752
35,DizSoX0FqH_EvXSHW6wEIQ,Le Petit Déjeuner,191 King Street E,M5A 1J5,Toronto,3.5,328,0.013888330097698727,0.8410811073168063,0.023329715845464775,0.027118817946896964,0.025616511551753953
36,Fx5haZv9PP3E7Ljp-h7B1Q,Eggspectation,483 Bay Street,M5H 2C9,Toronto,4.0,522,0.010826330878019309,0.7432835358274944,0.02411853524969183,0.03494287848450693,0.0900545260119001
37,G24p1oGGfY3t-m8Z2lPCaQ,Tinuno,31 Howard Street,M4X 1J6,Toronto,4.0,338,0.01414676149592303,0.7681921893310321,0.010208841192107907,0.04787150659039239,0.029145918781848947
38,GTwQgfi8DN23D9fMURYUdw,Sushi Moto,4901 Yonge Street,M2N 5N6,North York,4.0,314,0.06637730060745013,0.6843063294873316,0.053335429060255915,0.04921449625844328,0.0492054689767629
39,HTkY1GABYTivk-DKWyrlEw,Sansotei Ramen,3987 Highway 7 E,L3R 5M6,Markham,3.5,323,0.018835534245730173,0.5793663600650821,0.052415656822466176,0.01723539554380718,0.2845280057038668
40,HUYEadSbGSQNHXFmT2Ujjw,Manpuku Japanese Eatery,"105 McCaul Street, Unit 29-31",M5T 2X4,Toronto,4.0,406,0.04691126681609199,0.590482980581612,0.12542659538138218,0.03749777464776137,0.13071586533177318
41,HkHTdTvzbn-bmeQv_-2u0Q,Bannock,401 Bay Street,M5H 2Y4,Toronto,4.0,488,0.04199683735267847,0.6379413451930633,0.07209268894816323,0.030023848166090134,0.13631262727878035
42,IRd0jvnfJ3tV6AMlYMajzw,Restoran Malaysia,815 Major Mackenzie Drive E,L4C 9X2,Richmond Hill,3.5,468,0.03832801319783823,0.6215014348259162,0.05263480982730173,0.06374487806790667,0.10033407395758026
43,J9BmILDpV1Pr3GKU9XhjTQ,Little India Restaurant,255 Queen Street W,M5V 1Z4,Toronto,3.5,364,0.020590745155779598,0.2764906646691029,0.026014972983456962,0.5488693516588222,0.028034265532838283
44,JG9UpsFR6hrqQqsKh_RyaQ,Planta,1221 Bay Street,M5R 3P5,Toronto,4.0,332,0.02285116233606148,0.7337371442218007,0.11801954339886249,0.02601984764315465,0.05059181459524273
45,JMiaNitMzMbJm6Kh0RbT5A,Canoe,"66 Wellington Street  W, 54th Floor, TD Bank Tower",M5K 1H6,Toronto,4.0,610,0.04788864550523843,0.7303679231153752,0.03474101007592044,0.029003477152679976,0.030726216878058724
46,JOoblYsQjFT-47tkt6om0A,7 West Cafe,7 Charles Street W,M4Y 1R4,Toronto,3.5,351,0.02965045684176144,0.7174250987440484,0.03111615208856063,0.030478094498193168,0.09273864853166178
47,K1nwSvx14on6eVBbu5E9rA,Good Catch Boil House,"179 Enterprise Boulevard, Unit M-109",L6G 0A2,Markham,4.0,357,0.025665458634320844,0.76664638109701,0.079748130055993,0.023541218794178014,0.03463136955803314
48,K6XIGkyk7-fuOQtA8i7p6A,Mill Street Brew Pub,21 Tank House Lane,M5A 3C4,Toronto,3.5,427,0.024205469024876726,0.7545904609995137,0.05636431867758639,0.035599239373613006,0.07429545697935534
49,KVpvE6pOPM9KMvak4HFsNg,Pizzeria Libretto,221 Ossington Avenue,M6J 2Z8,Toronto,4.0,520,0.021517140732388557,0.7144174292419093,0.03757538619658324,0.037274115758319716,0.031321191228693895
50,L3R7y3_tUKQlM9kor4-Ccw,Jamie's Italian,"3401 Dufferin Street, Unit 20",M6A 2T9,Toronto,3.0,376,0.03100645126721321,0.7721930758993137,0.06647525414402487,0.03291892001732387,0.05010900137482668
51,LBHbyID7tcaGszznHtnCrw,JOEY Eaton Centre,1 Dundas St W,M5G 1Z3,Toronto,3.5,421,0.04365064636756795,0.7214328101558113,0.07322071379476844,0.05235576750122037,0.058492604553513204
52,LI9sVHgnX-DzFyvWmPDRgA,Guru Lukshmi,"7070 St Barbara Boulevard, Unit 45 & 50",L5W 0E6,Mississauga,4.0,360,0.013083399644416996,0.7779532019214178,0.03763424165809467,0.046011051396235736,0.007671046556305524
53,MS-hfug4QDXqb_Mws3qlzA,Grand Electric,1330 Queen Street W,M6K 1L4,Toronto,3.5,645,0.015126868196912231,0.7554837798710472,0.06826952765636074,0.047592044665975136,0.06250737144643927
54,MhiBpIBNTCAm1Xd3WzRzjQ,Messini Authentic Gyros,445 Danforth Avenue,M4K 1P2,Toronto,3.5,438,0.020727140478222234,0.7299049860028185,0.0393872993603624,0.05813318394253398,0.11481035317902573
55,MrmwDgMlL2GtthlAZsJwNQ,SCADDABUSH Italian Kitchen & Bar,209 Rathburn Road W,L5B 4E5,Missisauga,3.5,342,0.04417824042240377,0.797070351472109,0.04670628817444426,0.026573680445677702,0.025769946948051778
56,N93EYZy9R0sdlEvubu94ig,Banh Mi Boys,392 Queen Street W,M5V 2A9,Toronto,4.5,1045,0.0212122133491487,0.39249308788852777,0.022742216621836866,0.012039784915742348,0.36969451540656256
57,O-uIEuv7JLUHajkemx_sVw,Beerbistro,18 King Street E,M5C 1C4,Toronto,4.0,596,0.023242334633604568,0.6948399362436499,0.052890054888302694,0.08386102468470383,0.07373807812116759
58,O1TvPrgkK2bUo5O5aSZ7lw,Rol San,323 Spadina Avenue,M5T 2E9,Toronto,3.5,627,0.012092310403227745,0.6831829131551695,0.1810048638794984,0.017916024963609847,0.02937076657938572
59,O66Zy8Y13VBm72ZDhS4fIg,Sassafraz,100 Cumberland Street,M5R 1A6,Toronto,3.5,325,0.04302043314597667,0.8267584302591781,0.032499377834923085,0.030911119753101363,0.06681063900682106
60,ORqZyyZafJyZcgTGNrJ_oA,Wooffles & Cream,"8360 Kennedy Road, Unit 81",L3R 5Y7,Markham,4.0,386,0.8855166753091204,0.09344407559185049,0.004119608000182912,0.005617376579918332,0.01130226451892776
61,O_UC_izJXcAmkm6HlEyGSA,Playa Cabana,111 Dupont Street,M5R 1V4,Toronto,4.0,403,0.01376636083443246,0.8899387005840722,0.008094423842549037,0.018986517639192638,0.047937401355073156
62,OllK5_S-7svgSwbUfx1xYA,King's Noodle Restaurant,296 Spadina Avenue,M5T 2E7,Toronto,3.5,379,0.0112949350314262,0.6906189045410718,0.1127772360913985,0.033956509517344004,0.07089264470381683
63,Orgm9nmcClxnAUva4nOKyA,Hot House Restaurant & Bar,35 Church Street,M5E 1T3,Toronto,3.5,301,0.03806720334682161,0.6842509223966073,0.10863184312449711,0.034448942441629896,0.03624043295273914
64,Pthcdg09sHQ9M9Tj5P9gfQ,C'est What,67 Front Street E,M5E 1B5,Toronto,3.5,311,0.026577102400054783,0.6997519660638344,0.030281265294853275,0.11999989116201236,0.036433253340114796
65,QFPS9JBNdOOHVP0C3pSslw,Earls Kitchen + Bar,"150 King Street West, Unit 100",V5H 1J9,Toronto,3.5,373,0.03546237481907842,0.8102367470569619,0.04134671452276455,0.028497309824620305,0.01994072474431649
66,QGTqGNLZbBA1QD8L_fO9ZA,Kaka All You Can Eat,"3235 Highway 7 E, Unit 18A",L3R 3P3,Markham,3.0,594,0.12205059776754927,0.6801448595152214,0.05245089624583493,0.03650303805916999,0.03317493273654838
67,Qa4eXuZ1IFPwnVXJcpZWtw,Real Sports Bar & Grill,15 York Street,M5J 0A3,Toronto,3.5,423,0.013019639314044299,0.7054368641079196,0.07515441679744982,0.03396134892829149,0.09161965004421392
68,Qayz6avNEPNS6Q5UThYHCQ,MABU Generation,"3235 Highway 7, Unit 23-26",L3R 3P3,Markham,3.0,304,0.10752962291224764,0.6800380545188986,0.07274403369154664,0.04296837758483458,0.07040412181878845
69,Qmwfg-PtYuCo5Q_IwcA_HQ,JaBistro,222 Richmond Street W,M5V 1W4,Toronto,4.0,445,0.11587974920056579,0.7548147342458698,0.017154399407004608,0.013529857880490643,0.049840771461191175
70,RUd_M7DPJq1I3DPq0oF--w,Lahore Tikka House,1365 Gerrard Street E,M4L 1Z3,Toronto,3.5,446,0.015392633234909638,0.4270294513384759,0.020728378199680878,0.4056895604162228,0.025896818915974007
71,RtUvSWO_UZ8V3Wpj0n077w,KINKA IZAKAYA ORIGINAL,398 Church St,M5B 2A2,Toronto,4.0,1397,0.033376191913332236,0.6719085789100089,0.08528188573460121,0.04089287280991706,0.10187380396547423
72,RwRNR4z3kY-4OsFqigY5sw,Uncle Tetsu's Japanese Cheesecake,598 Bay Street,M5G 1M5,Toronto,3.5,939,0.12655045090624928,0.7089975550580069,0.01864765184854891,0.01466910089613,0.013851290673781394
73,RyDiwx4xD3Lx8sWHx1aFlQ,Smoque N' Bones,869 Queen Street W,M6J 1G4,Toronto,4.0,344,0.020238347991271284,0.6291171420728573,0.013858031182339242,0.023205769709652373,0.22737381249215566
74,SGP1jf6k7spXkgwBlhiUVw,Kekou Gelato House,13 Baldwin Street,M5T 1L1,Toronto,4.5,411,0.40947667274917876,0.21391851674632448,0.0015657780388766138,0.0077246501769295955,0.08160009657440485
75,SW6ZQk22G1_CV81_gfnvNQ,La Carnita,501 College Street,M5S 2K2,Toronto,4.0,477,0.029953367558711672,0.7436386834400518,0.06173643914472209,0.021360051285187025,0.059978125237993916
76,SjgeuBlgKER9yegpoxT99w,Nomé Izakaya,4848 Yonge Street,M2N 5N2,Toronto,4.0,512,0.021618829585951977,0.6835140958482787,0.12174919372590472,0.030437608789526647,0.05339455776462353
77,TFftsYkRIUtdo6ZhRwJ2lQ,Terroni,720 Queen Street W,M6J 1E8,Toronto,3.5,324,0.01365875829125861,0.7634095498869407,0.07478489420353492,0.030758709782138672,0.030431566096996557
78,TR0-w6VoZDAdvFQiq7P2Ug,Millie Creperie,161 Baldwin Street,M5T 1L8,Toronto,4.0,350,0.26762279861837346,0.34644626898420494,0.044822700337049964,0.039688351935294616,0.06332464202983894
79,UDk7qUVIetK3Y3NuARguqg,Banjara Indian Cuisine,796 Bloor Street W,M6G 1L7,Toronto,3.5,387,0.006610611146380217,0.40469711671693626,0.023551584100224357,0.34558817507100237,0.02837604237722146
80,Uq-GOs9_IqweUsB5MdII9w,Emma's Country Kitchen,810 Saint Clair Avenue W,M6C 1B6,Toronto,4.0,347,0.02247065546959724,0.7897987971986425,0.04884320156861049,0.022820937255696654,0.01606640850745317
81,UxWH8zRYIBgs6Q2oykvRdw,Cluny Bistro & Boulangerie,35 Tank House Lane,M5A 3C4,Toronto,3.5,459,0.05211989065658413,0.7653955894945641,0.07892288069456242,0.026375643088040614,0.02816638822311143
82,VRwT0pscR5vESCrAnUpNwQ,Wilbur Mexicana,552 King Street W,M5V 1M3,Toronto,4.0,463,0.0272177911362811,0.7547546718624341,0.04113938872001034,0.04098469756206054,0.06923678405254732
83,WKOUTdVJS58E178JjhwidQ,Pastel Creperies & Dessert House,5417 Yonge Street,M2N 5R6,North York,4.0,316,0.4355997033371377,0.37981344165069847,0.011264149677814563,0.011369177872876928,0.011953527461472411
84,WeKF3N1MK0eJQmZdxPL9pQ,Marché Restaurant,181 Bay Street,M5J 2T3,Toronto,3.0,344,0.03388397879808079,0.6611589435497476,0.041403754522090365,0.07457206882696137,0.04848538653452495
